gender,math,science,result
female,60,75,fail
male,46,74,fail
male,62,53,fail
male,66,67,fail
male,76,40,fail
female,96,97,pass
male,91,66,pass
male,42,44,fail
male,93,62,pass
female,72,66,fail
female,40,50,fail
female,79,65,pass
female,58,47,fail
female,63,78,pass
male,90,88,pass
female,97,53,pass
male,61,66,fail
female,68,41,fail
male,92,81,pass
male,62,46,fail
male,95,45,pass
male,71,53,fail
female,78,60,fail
male,95,82,pass
male,83,47,fail
female,100,56,pass
male,87,78,pass
male,62,75,fail
female,60,53,fail
male,44,77,fail
male,60,65,fail
male,69,67,fail
female,100,87,pass
male,75,70,pass
male,56,64,fail
male,44,62,fail
female,73,63,fail
male,62,43,fail
female,81,89,pass
male,94,67,pass
female,78,47,fail
male,94,92,pass
female,95,54,pass
female,91,61,pass
female,56,47,fail
female,81,83,pass
female,82,40,fail
female,46,64,fail
female,92,70,pass
male,53,80,fail
male,88,85,pass
female,87,62,pass
male,51,93,pass
female,41,96,fail
female,42,93,fail
male,92,64,pass
female,45,55,fail
female,63,88,pass
female,52,56,fail
female,62,53,fail
female,93,53,pass
female,87,76,pass
male,93,100,pass
female,49,83,fail
female,46,66,fail
female,59,70,fail
female,87,43,fail
male,60,77,fail
male,51,44,fail
male,47,63,fail
male,57,48,fail
female,98,67,pass
male,71,74,pass
female,77,87,pass
female,72,90,pass
female,97,66,pass
male,59,98,pass
male,97,67,pass
male,73,47,fail
male,51,75,fail
female,50,96,pass
male,77,54,fail
female,50,41,fail
male,75,41,fail
male,44,59,fail
female,89,40,fail
female,93,90,pass
female,93,74,pass
female,48,63,fail
female,62,71,fail
male,76,51,fail
male,76,92,pass
male,100,78,pass
male,70,41,fail
male,85,72,pass
female,50,64,fail
female,94,81,pass
female,79,76,pass
female,83,40,fail
female,96,91,pass
female,73,40,fail
female,91,57,pass
male,51,59,fail
male,74,72,pass
female,49,57,fail
female,86,90,pass
male,74,49,fail
male,56,70,fail
male,46,54,fail
female,46,66,fail
female,77,62,fail
male,80,43,fail
male,90,66,pass
male,75,43,fail
male,93,51,pass
male,64,47,fail
female,62,81,pass
female,86,93,pass
female,97,93,pass
male,72,80,pass
female,43,76,fail
female,42,81,fail
female,44,80,fail
female,76,62,fail
female,47,77,fail
female,86,47,fail
male,46,40,fail
female,97,80,pass
male,81,49,fail
female,51,99,pass
male,60,92,pass
female,59,86,pass
male,42,57,fail
male,73,97,pass
female,95,89,pass
female,58,80,fail
female,98,97,pass
male,99,56,pass
male,83,59,pass
male,55,86,pass
female,74,48,fail
female,60,66,fail
female,80,80,pass
female,91,56,pass
male,95,44,fail
male,59,63,fail
male,40,82,fail
male,74,62,fail
female,40,53,fail
female,88,71,pass
male,76,45,fail
female,92,48,pass
male,69,85,pass
female,49,68,fail
male,41,91,fail
female,95,58,pass
male,61,92,pass
male,44,96,pass
male,63,41,fail
female,77,85,pass
female,77,53,fail
female,59,74,fail
male,94,89,pass
female,72,74,pass
male,43,99,pass
female,45,75,fail
female,75,80,pass
male,57,92,pass
male,93,98,pass
male,84,91,pass
female,48,80,fail
male,57,96,pass
male,87,46,fail
female,95,66,pass
male,59,71,fail
male,55,98,pass
female,84,91,pass
female,65,87,pass
male,54,62,fail
female,62,94,pass
male,56,51,fail
male,50,75,fail
female,55,92,pass
female,99,69,pass
female,54,47,fail
male,70,75,pass
male,59,81,pass
female,41,44,fail
female,54,88,pass
male,70,76,pass
female,99,59,pass
female,59,89,pass
female,88,79,pass
female,100,68,pass
male,100,76,pass
male,97,84,pass
female,58,46,fail
male,66,51,fail
female,72,77,pass
female,59,67,fail
male,56,74,fail
male,48,48,fail
male,51,60,fail
male,79,69,pass
male,69,95,pass
female,84,79,pass
male,64,45,fail
female,65,55,fail
male,98,99,pass
male,77,93,pass
female,47,45,fail
male,70,53,fail
female,80,45,fail
female,47,55,fail
female,66,90,pass
female,53,45,fail
male,79,61,pass
female,78,67,pass
female,54,59,fail
female,78,81,pass
female,69,97,pass
female,49,82,fail
male,77,97,pass
female,47,59,fail
female,68,92,pass
male,94,75,pass
female,49,62,fail
female,68,76,pass
male,86,89,pass
female,79,75,pass
female,83,76,pass
female,75,47,fail
male,66,89,pass
female,90,89,pass
male,66,84,pass
male,81,59,pass
male,86,45,fail
female,72,88,pass
male,61,78,fail
male,88,51,fail
male,94,46,pass
male,95,74,pass
female,77,88,pass
male,51,74,fail
female,97,80,pass
male,47,57,fail
male,87,87,pass
female,84,59,pass
male,63,69,fail
female,99,53,pass
male,72,66,fail
female,67,79,pass
male,46,50,fail
female,54,54,fail
female,93,77,pass
male,76,90,pass
male,79,44,fail
female,96,49,pass
male,48,86,fail
male,70,53,fail
female,47,63,fail
male,83,85,pass
male,83,88,pass
male,78,81,pass
female,60,98,pass
male,96,97,pass
male,44,88,fail
male,46,41,fail
female,49,94,pass
female,57,95,pass
male,51,84,fail
female,68,45,fail
male,61,61,fail
female,68,54,fail
male,41,76,fail
female,52,53,fail
male,79,69,pass
male,48,97,pass
female,54,43,fail
male,94,52,pass
male,76,85,pass
female,99,99,pass
male,54,82,fail
female,69,85,pass
male,98,73,pass
female,94,79,pass
male,41,93,fail
female,64,77,pass
male,71,42,fail
male,53,40,fail
male,49,62,fail
male,49,86,fail
female,82,47,fail
male,61,90,pass
male,87,93,pass
male,60,60,fail
male,79,71,pass
male,52,69,fail
male,60,57,fail
male,51,72,fail
female,66,57,fail
female,44,81,fail
female,41,53,fail
male,46,94,pass
female,49,91,pass
female,65,93,pass
male,69,66,fail
male,100,75,pass
male,78,43,fail
male,68,49,fail
male,51,81,fail
male,42,58,fail
male,66,78,pass
female,84,89,pass
male,77,44,fail
female,60,57,fail
female,89,98,pass
female,58,86,pass
female,77,44,fail
male,58,51,fail
female,45,63,fail
male,43,89,fail
female,92,96,pass
male,83,86,pass
male,82,54,fail
male,42,88,fail
female,87,95,pass
male,52,57,fail
female,74,76,pass
male,91,95,pass
male,92,94,pass
male,75,41,fail
male,76,42,fail
female,52,58,fail
male,90,42,fail
female,64,62,fail
female,94,61,pass
male,77,100,pass
female,99,55,pass
male,98,75,pass
male,52,44,fail
male,89,87,pass
female,80,74,pass
male,67,44,fail
male,100,82,pass
female,97,77,pass
female,75,97,pass
male,59,78,fail
male,83,50,fail
female,54,61,fail
female,59,58,fail
male,93,59,pass
male,85,40,fail
female,58,84,pass
male,61,58,fail
male,96,80,pass
female,96,77,pass
male,96,71,pass
male,90,88,pass
male,52,72,fail
male,65,86,pass
male,94,93,pass
female,92,77,pass
male,49,93,pass
male,72,67,fail
male,73,47,fail
male,63,64,fail
female,72,99,pass
female,100,56,pass
male,72,77,pass
male,76,56,fail
male,64,85,pass
male,71,90,pass
female,80,54,fail
male,77,78,pass
male,51,46,fail
male,84,51,fail
male,49,75,fail
male,55,55,fail
female,71,74,pass
female,100,89,pass
female,80,91,pass
female,73,45,fail
male,48,55,fail
female,81,53,fail
female,57,67,fail
male,49,76,fail
female,91,97,pass
female,98,49,pass
male,87,96,pass
male,86,87,pass
female,81,95,pass
male,48,43,fail
female,98,45,pass
male,99,78,pass
female,50,93,pass
male,45,49,fail
male,42,82,fail
female,84,58,pass
male,100,90,pass
male,77,60,fail
female,57,96,pass
male,88,96,pass
male,49,63,fail
female,73,53,fail
male,95,72,pass
female,99,54,pass
female,80,52,fail
male,64,87,pass
male,47,81,fail
male,49,99,pass
male,91,65,pass
male,89,75,pass
male,58,72,fail
male,46,69,fail
female,52,72,fail
female,40,41,fail
male,77,86,pass
male,49,96,pass
female,76,54,fail
female,72,60,fail
male,48,92,pass
female,96,48,pass
male,97,49,pass
female,44,77,fail
male,44,67,fail
female,77,69,pass
male,73,56,fail
male,51,66,fail
female,77,78,pass
male,100,82,pass
female,76,63,fail
male,89,68,pass
female,58,81,fail
female,89,92,pass
female,96,62,pass
male,69,48,fail
female,80,51,fail
male,50,74,fail
male,78,92,pass
male,47,84,fail
male,86,61,pass
male,90,53,pass
female,69,65,fail
male,86,43,fail
male,95,55,pass
male,76,62,fail
male,96,56,pass
female,87,64,pass
female,87,44,fail
female,71,66,fail
female,79,45,fail
female,68,83,pass
male,89,83,pass
male,44,83,fail
female,63,97,pass
female,73,81,pass
male,86,92,pass
female,57,64,fail
male,76,92,pass
male,86,62,pass
male,58,48,fail
female,66,96,pass
female,86,77,pass
male,41,55,fail
male,100,51,pass
male,55,48,fail
female,66,55,fail
male,60,65,fail
female,61,60,fail
female,58,70,fail
female,83,100,pass
female,67,81,pass
male,42,47,fail
male,50,55,fail
female,61,48,fail
female,80,61,pass
male,88,50,fail
female,98,93,pass
female,59,40,fail
female,90,61,pass
male,43,54,fail
female,66,67,fail
female,87,66,pass
male,43,83,fail
female,84,52,fail
male,70,47,fail
female,70,92,pass
female,92,94,pass
female,59,74,fail
male,87,97,pass
female,59,87,pass
male,42,42,fail
female,71,83,pass
female,40,69,fail
female,43,86,fail
female,98,68,pass
female,97,71,pass
male,56,100,pass
male,89,99,pass
male,87,53,pass
female,61,83,pass
female,48,77,fail
female,85,94,pass
male,54,64,fail
male,76,96,pass
female,98,62,pass
male,40,99,fail
male,52,52,fail
male,70,77,pass
female,72,60,fail
female,44,86,fail
female,71,58,fail
female,61,64,fail
female,43,67,fail
male,46,47,fail
male,57,65,fail
male,80,49,fail
female,81,76,pass
female,91,67,pass
female,53,52,fail
male,65,98,pass
female,80,50,fail
female,60,85,pass
male,78,57,fail
female,67,61,fail
female,93,50,pass
male,49,72,fail
male,84,54,fail
male,60,75,fail
female,69,77,pass
female,71,72,pass
male,74,80,pass
female,93,62,pass
female,77,81,pass
female,61,82,pass
male,59,45,fail
female,41,73,fail
male,92,49,pass
male,67,53,fail
male,67,89,pass
female,54,89,pass
male,51,42,fail
male,51,57,fail
female,83,82,pass
male,89,60,pass
female,75,91,pass
female,51,92,pass
female,73,91,pass
female,100,56,pass
male,85,62,pass
male,66,67,fail
male,97,70,pass
male,90,97,pass
male,46,50,fail
male,77,91,pass
male,86,71,pass
female,97,46,pass
female,89,72,pass
female,47,93,pass
female,63,94,pass
female,41,66,fail
female,65,45,fail
female,92,40,fail
female,75,68,pass
male,89,43,fail
male,44,87,fail
male,44,60,fail
female,66,65,fail
female,68,98,pass
female,46,63,fail
male,49,89,fail
male,50,62,fail
female,91,95,pass
female,65,82,pass
male,55,62,fail
female,49,47,fail
male,42,48,fail
male,55,88,pass
male,84,80,pass
male,85,83,pass
male,72,46,fail
female,99,87,pass
male,44,94,fail
male,73,99,pass
female,63,74,fail
female,72,97,pass
female,69,71,pass
female,79,80,pass
male,63,94,pass
male,40,52,fail
female,58,48,fail
male,99,49,pass
male,81,83,pass
female,82,80,pass
female,74,87,pass
male,97,55,pass
male,84,73,pass
male,43,86,fail
female,97,93,pass
male,65,50,fail
male,42,57,fail
female,59,86,pass
male,52,62,fail
male,86,64,pass
female,47,62,fail
male,47,44,fail
female,93,84,pass
female,58,64,fail
female,64,98,pass
male,84,92,pass
male,85,72,pass
male,66,83,pass
male,44,55,fail
male,56,75,fail
female,50,77,fail
female,95,93,pass
female,45,50,fail
female,78,92,pass
female,100,41,pass
female,96,53,pass
male,45,47,fail
male,66,63,fail
female,43,55,fail
female,51,58,fail
female,85,45,fail
male,85,44,fail
male,82,87,pass
female,78,41,fail
female,73,91,pass
male,88,83,pass
male,71,47,fail
male,51,97,pass
male,48,99,pass
